,Prod. year,Engine volume,Mileage,Cylinders,Airbags,Price
3431,1998,3.2,220000,6.0,6,8154
3432,2009,2.2,350000,4.0,2,31361
3433,2019,2.0,2927,4.0,4,34635
3434,2012,4.0,138965,6.0,8,18503
3435,2011,2.0,97600,6.0,10,16308
3436,2013,1.8,243200,4.0,12,21012
3437,2005,1.3,176000,4.0,8,7213
3438,2012,2.5,160000,4.0,0,13485
3439,2009,1.6,75996,4.0,4,6586
3440,2010,2.0,185120,4.0,4,15132
3441,2010,1.3,93000,4.0,2,12231
3442,2012,2.0,187794,4.0,4,15850
3443,2009,1.2,73816,4.0,4,6269
3444,2011,1.6,94910,4.0,4,20266
3445,2012,2.4,226814,4.0,0,282
3446,2018,2.0,46503,4.0,4,54346
3447,2017,2.0,11971,4.0,12,1019
3448,1995,1.8,2014,4.0,2,4077
3449,2012,2.4,119700,4.0,10,18817
3450,2018,2.0,91283,4.0,12,549
3451,2016,2.5,60000,4.0,8,40769
3452,2010,3.5,189530,6.0,12,12388
3453,2010,2.0,171734,4.0,4,14454
3454,2013,1.5,143686,4.0,4,6611
3455,2012,2.5,157232,4.0,12,7527
3456,2013,2.0,215965,4.0,0,392
3457,2015,4.6,106918,8.0,0,47042
3458,2017,2.4,50000,4.0,10,25089
3459,2003,2.5,76000,6.0,6,10663
3460,1998,2.9,111111,5.0,1,20385
3461,2015,2.5,90392,4.0,0,6899
3462,2011,4.4,147677,8.0,12,8154
3463,2012,2.5,101000,4.0,8,21012
3464,2010,3.3,345405,6.0,12,5645
3465,2018,1.5,0,4.0,2,16000
3466,2010,2.5,92336,4.0,4,21009
3467,2015,2.0,83000,6.0,12,64917
3468,2014,3.5,200179,6.0,12,30734
3469,2013,2.0,93450,4.0,10,19757
3470,2011,3.5,63905,4.0,4,39026
3471,1999,2.2,55000,6.0,2,6272
3472,2008,3.0,292000,6.0,12,24462
3473,2013,1.5,0,4.0,12,13172
3474,2010,2.0,220000,4.0,8,17562
3475,2011,3.0,196330,6.0,12,188
3476,2013,2.0,320554,4.0,0,4077
3477,2017,2.0,41747,4.0,4,50526
3478,2016,2.5,19000,4.0,12,48610
3479,2005,2.0,234082,4.0,4,4077
3480,2013,4.4,118656,8.0,12,627
3481,2012,2.0,150285,4.0,12,2117
3482,2015,2.5,90000,4.0,8,19444
3483,2010,1.8,133000,4.0,10,15681
3484,2015,1.8,134835,4.0,12,1176
3485,2002,1.0,90000,4.0,2,7527
3486,2001,1.0,175000,4.0,2,5175
3487,2012,4.6,229334,8.0,0,52059
3488,2011,3.5,119379,6.0,12,16621
3489,2010,5.5,199203,8.0,12,470
3490,2016,2.2,94638,4.0,4,52106
3491,2007,2.4,22000,4.0,10,18503
3492,2014,1.4,256000,4.0,8,40
3493,2014,0.7,11000,3.0,2,9000
3494,2016,2.0,67000,4.0,12,21326
3495,2012,1.3,145000,4.0,6,30
3496,2015,2.4,177600,4.0,7,19444
3497,2013,2.0,193504,4.0,0,1411
3498,1997,2.0,290000,4.0,2,2500
3499,2013,2.4,180800,4.0,4,11604
3500,2008,2.0,190400,6.0,12,14113
3501,2019,2.5,39552,4.0,12,251
3502,2014,1.6,107738,4.0,12,8311
3503,2012,1.4,74000,4.0,8,15994
3504,2000,1.6,215000,4.0,0,7213
3505,2010,1.8,368000,4.0,11,13172
3506,1998,2.8,0,6.0,2,15994
3507,2015,2.2,69320,4.0,4,27174
3508,2008,3.3,0,6.0,12,314
3509,2012,1.5,142000,4.0,8,14113
3510,2014,2.5,29800,4.0,6,22580
3511,2006,1.3,163000,4.0,2,8311
3512,2015,1.6,41250,4.0,4,20918
3513,2012,2.5,214098,4.0,12,4077
3514,2004,3.2,130000,6.0,8,16308
3515,2012,4.6,180659,8.0,12,1725
3516,2016,0.0,65004,4.0,4,27356
3517,2012,2.0,340106,4.0,0,470
3518,2010,3.5,138070,6.0,12,470
3519,2015,3.0,80000,6.0,12,82166
3520,2005,2.2,215000,4.0,6,10976
3521,2013,2.0,163855,4.0,4,18519
3522,2007,1.5,85000,4.0,10,9408
3523,2010,1.3,187312,4.0,0,1098
3524,2013,1.8,137538,4.0,4,13877
3525,2015,3.5,71939,6.0,12,3293
3526,2015,2.0,84800,4.0,12,23521
3527,2011,2.0,85419,4.0,4,7056
3528,2016,1.6,40598,4.0,4,21790
3529,2004,3.2,140000,6.0,8,7840
3530,2019,2.5,7000,4.0,10,65858
3531,2010,1.6,132967,4.0,4,13476
3532,2013,2.5,134700,4.0,12,25089
3533,2017,2.0,48432,4.0,4,22266
3534,2016,1.8,71904,4.0,0,6743
3535,2005,1.5,156000,4.0,7,6272
3536,1998,1.5,11580,4.0,2,4077
3537,2012,2.5,314373,4.0,12,392
3538,2000,1.8,10000,4.0,12,5645
3539,2000,2.0,0,4.0,8,7840
3540,2012,3.0,129834,6.0,12,1646
3541,2003,3.0,185000,6.0,12,12544
3542,2014,1.8,149000,4.0,10,15681
3543,2008,3.8,136192,4.0,4,10349
3544,2013,2.5,225510,4.0,12,941
3545,2016,2.0,50195,4.0,12,549
3546,2017,2.0,13148,4.0,4,42987
3547,2017,3.5,53070,6.0,12,862
3548,2015,2.0,669145,4.0,4,10976
3549,2012,1.5,99000,4.0,4,5645
3550,2016,1.6,51287,4.0,4,27093
3551,2013,1.8,268800,4.0,10,17719
3552,2014,2.5,145000,4.0,7,19757
3553,2010,1.8,319301,4.0,12,4704
3554,2008,3.0,213998,6.0,12,282
3555,2015,2.0,30000,4.0,4,23678
3556,2019,3.0,33000,6.0,12,250
3557,2014,2.0,120871,4.0,4,40983
3558,2009,3.8,187143,4.0,4,13463
3559,2017,2.4,63803,4.0,12,5018
3560,2018,1.5,43128,4.0,12,941
3561,2014,2.5,254230,4.0,12,1098
3562,2012,1.6,100300,4.0,2,13485
3563,2013,2.5,78670,4.0,12,392
3564,2017,2.4,79309,4.0,7,37633
3565,2015,1.5,43578,4.0,4,39615
3566,2013,2.5,190549,4.0,12,5018
3567,2014,2.0,186048,4.0,0,157
3568,2009,2.7,60227,4.0,4,9252
3569,2013,2.5,78082,4.0,12,21953
3570,2016,3.5,30573,4.0,4,132971
3571,2008,0.4,209843,4.0,0,188
3572,2004,2.5,250000,6.0,4,10349
3573,2014,1.6,142495,4.0,4,19130
3574,2015,2.5,14004,4.0,8,21326
3575,2012,3.0,176480,4.0,12,40456
3576,2014,1.5,134800,4.0,2,10349
3577,2010,1.3,112000,4.0,4,13799
3578,2008,1.5,135000,4.0,6,50
3579,2000,2.7,333333,5.0,2,22894
3580,2016,2.5,54400,4.0,8,31361
3581,1995,2.5,1958,4.0,2,7213
3582,2017,2.0,115974,4.0,12,4547
3583,2009,1.5,142426,4.0,12,1882
3584,2017,1.6,33216,4.0,4,41811
3585,2011,3.0,74500,6.0,12,39201
3586,2016,2.0,136027,4.0,4,37000
3587,1999,3.5,0,6.0,2,11000
3588,2016,2.5,70066,4.0,12,10349
3589,2013,3.0,98000,8.0,12,29793
3590,1998,1.6,195256,4.0,4,6586
3591,2004,2.0,138643,4.0,8,10036
3592,2014,2.4,76000,4.0,7,22894
3593,2015,1.6,108000,4.0,8,15053
3594,2011,2.0,61208,4.0,4,7056
3595,2016,1.6,63276,4.0,4,25889
3596,2011,3.5,119379,6.0,12,16621
3597,2012,1.6,104997,4.0,4,20005
3598,2017,1.4,46800,4.0,6,22894
3599,2013,1.8,65000,4.0,8,19130
3600,2007,2.0,52699,4.0,4,4359
3601,2014,1.6,76800,4.0,4,14740
3602,2018,1.6,200401,4.0,4,43868
3603,2012,3.5,170000,6.0,12,47000
3604,2014,2.5,1440000,4.0,0,15994
3605,1997,4.0,0,6.0,2,3450
3606,2017,5.6,54854,8.0,12,17562
3607,2009,3.3,472304,6.0,12,784
3608,2002,1.8,150000,4.0,4,2195
3609,2013,2.5,263459,4.0,0,7527
3610,2007,1.3,188000,4.0,7,8781
3611,2012,1.8,108773,4.0,10,21012
3612,2010,2.0,166320,4.0,4,22649
3613,2013,2.0,95000,4.0,4,40983
3614,2010,2.7,181385,4.0,4,19416
3615,2008,4.7,0,8.0,0,549
3616,2005,2.2,183000,4.0,2,16935
3617,2014,1.8,95000,4.0,0,15681
3618,2003,2.5,270000,4.0,12,9408
3619,2007,2.4,215000,4.0,4,16621
3620,2013,2.4,191848,4.0,12,2979
3621,2012,2.0,132043,4.0,4,23207
3622,2005,1.3,18900,4.0,8,12858
3623,2013,2.4,152480,6.0,6,17249
3624,2007,1.5,453000,4.0,4,7997
3625,2002,1.3,100000,4.0,2,60
3626,2010,1.8,136000,4.0,8,12541
3627,2004,3.0,416000,6.0,6,14113
3628,2019,2.0,14000,4.0,4,59006
3629,2014,3.0,98803,6.0,12,8467
3630,2014,2.5,0,4.0,12,10349
3631,2003,2.5,190000,4.0,2,7527
3632,2011,1.6,94479,4.0,4,20005
3633,2013,1.5,121840,4.0,4,12388
3634,2014,2.5,168661,4.0,12,392
3635,2013,2.4,52528,4.0,0,15053
3636,2012,3.0,133342,6.0,12,862
3637,2014,2.0,191980,4.0,4,25264
3638,2018,1.5,20549,4.0,10,21012
3639,2007,3.0,75000,8.0,12,14113
3640,2012,2.4,259934,4.0,0,4077
3641,2020,2.0,9146,4.0,4,96749
3642,2014,2.0,156000,4.0,12,42337
3643,2006,4.4,90000,8.0,8,130
3644,2012,1.3,114000,4.0,4,10976
3645,2012,1.8,158302,4.0,6,16621
3646,2010,2.2,115505,4.0,4,23734
3647,2012,1.6,104509,4.0,12,1725
3648,2013,1.8,0,4.0,0,1019
3649,2004,4.4,224000,8.0,6,15681
3650,2012,3.0,221312,6.0,12,157
3651,2014,2.5,128000,4.0,4,24433
3652,2015,2.0,486563,4.0,4,9722
3653,2001,2.0,11111,4.0,6,3000
3654,2010,3.5,205968,6.0,12,1646
3655,2011,4.6,163298,8.0,12,627
3656,2013,2.0,95430,4.0,4,34419
3657,2015,4.6,102885,8.0,12,784
3658,2004,3.0,250000,8.0,0,16935
3659,2017,3.5,59331,6.0,0,4704
3660,2011,3.0,273186,6.0,12,9879
3661,2013,3.6,134400,6.0,8,29793
3662,2011,2.0,112000,4.0,10,17249
3663,2014,1.5,73000,4.0,4,10349
3664,2013,2.0,166762,4.0,4,23932
3665,2014,2.5,284880,4.0,12,1098
3666,2006,2.7,160000,6.0,8,13172
3667,2015,1.6,59000,4.0,8,25089
3668,1999,1.6,1650,4.0,4,6272
3669,2002,1.5,11000,4.0,4,5959
3670,2016,1.8,31000,4.0,8,28539
3671,2014,3.0,140507,6.0,0,3058
3672,2013,3.5,220696,6.0,12,470
3673,2012,3.0,271701,6.0,12,26657
3674,2018,1.8,11469,4.0,12,1490
3675,2008,1.5,240000,4.0,10,9722
3676,2016,1.6,28647,4.0,4,18660
3677,2012,6.2,137210,8.0,12,19444
3678,2012,2.5,119765,4.0,12,1568
3679,2010,2.0,199868,4.0,4,12306
3680,2016,1.6,77000,4.0,4,41281
3681,2012,2.0,120950,4.0,4,28830
3682,2011,1.8,178000,4.0,6,18817
3683,2011,3.0,220763,6.0,15,21326
3684,2004,6.0,100070,8.0,6,62722
3685,2010,1.8,135797,4.0,0,16308
3686,2009,4.4,167000,6.0,9,49550
3687,2012,2.5,214098,4.0,0,23521
3688,2008,1.5,173000,4.0,8,11290
3689,1999,1.6,19066,4.0,2,7683
3690,2019,3.6,14096,6.0,12,23834
3691,1993,2.8,111000,6.0,1,3000
3692,2014,2.0,362454,4.0,4,10036
3693,2010,1.8,188800,4.0,8,14426
3694,2016,2.0,310064,4.0,4,16308
3695,2015,2.0,96000,4.0,12,10976
3696,2000,3.2,192000,6.0,6,9408
3697,2004,3.0,0,4.0,1,20385
3698,1999,2.9,370000,6.0,0,11290
3699,2012,2.0,190000,4.0,12,28852
3700,2016,1.8,89525,4.0,12,1725
3701,2014,2.0,52197,4.0,4,24932
3702,2012,1.6,99000,4.0,10,17249
3703,2017,1.5,102379,4.0,12,627
3704,2016,2.2,140552,4.0,4,51373
3705,2014,4.4,0,8.0,12,100355
3706,2015,2.0,553481,4.0,4,12544
3707,2012,4.6,229334,8.0,0,52059
3708,2004,1.2,248000,4.0,7,7997
3709,2008,3.0,213998,6.0,12,4547
3710,2013,2.4,130000,4.0,10,17562
3711,2009,2.5,74121,4.0,4,15994
3712,2012,1.6,169486,4.0,4,12720
3713,2003,3.0,199000,6.0,16,8781
3714,2017,1.6,29308,4.0,4,42692
3715,2015,2.0,374013,4.0,4,9252
3716,2014,1.6,133480,4.0,4,24709
3717,2012,2.5,228717,4.0,12,2430
3718,2012,3.5,285186,6.0,12,9565
3719,2005,5.0,168520,8.0,12,16308
3720,2017,2.0,87810,4.0,4,45044
3721,2016,2.0,514781,4.0,4,10036
3722,2007,4.8,248000,8.0,0,32929
3723,2013,2.0,126000,4.0,4,28225
3724,2006,1.4,0,4.0,8,8467
3725,2012,2.0,142014,4.0,4,15850
3726,2008,3.5,494317,6.0,12,4547
3727,2001,2.5,160000,6.0,0,5018
3728,2016,2.5,62230,4.0,4,53540
3729,2012,2.4,116000,4.0,8,11917
3730,2015,2.5,142800,4.0,12,1176
3731,2013,1.5,109000,4.0,2,8938
3732,2011,1.6,106616,4.0,4,20005
3733,2010,2.0,192000,4.0,10,15681
3734,1998,2.5,1000,1.0,1,7840
3735,2012,1.3,100000,4.0,4,7300
3736,2008,1.5,200000,4.0,8,8154
3737,2014,1.4,20000,4.0,12,25089
3738,2009,3.5,109139,6.0,12,3450
3739,2018,2.5,67066,4.0,12,3136
3740,2014,2.0,142211,4.0,0,10506
3741,2003,1.7,16500,4.0,2,9095
3742,2011,2.4,149000,4.0,10,10976
3743,2007,1.5,150000,4.0,9,9095
3744,2010,1.8,408997,4.0,12,470
3745,2014,3.5,29675,6.0,12,392
3746,2014,2.4,274981,4.0,12,157
3747,2014,2.0,531500,4.0,4,6429
3748,2008,3.5,77300,6.0,12,28225
3749,2013,2.7,177894,4.0,12,941
3750,2013,2.5,47000,4.0,8,22580
3751,2007,3.0,180000,6.0,10,26657
3752,2012,2.0,133000,4.0,8,9408
3753,2005,1.5,111111,4.0,6,8467
3754,2012,1.6,149935,4.0,4,14454
3755,2014,3.2,171734,6.0,12,392
3756,2013,2.4,111930,4.0,12,4077
3757,2012,3.0,110000,6.0,12,65858
3758,2000,3.2,1000,6.0,0,9408
3759,2019,2.5,9626,4.0,12,3450
3760,2010,1.6,80861,4.0,4,15423
3761,2010,2.0,90000,4.0,12,10349
3762,2012,1.8,236800,4.0,6,15681
3763,2015,1.4,144000,4.0,0,16308
3764,2010,4.6,357246,8.0,0,16308
3765,2012,4.6,255406,8.0,0,54568
3766,2013,3.6,101000,8.0,8,27598
3767,2013,2.0,151522,4.0,4,20814
3768,2017,2.0,26802,4.0,12,314
3769,2016,2.0,195432,4.0,4,15681
3770,2013,2.0,294016,4.0,12,941
3771,2003,2.2,135000,6.0,6,8467
3772,1999,2.0,145785,4.0,2,9722
3773,2010,3.5,205968,6.0,12,706
3774,2005,2.5,53000,4.0,8,8781
3775,2001,2.7,0,6.0,4,5959
3776,2012,1.8,180000,4.0,12,16308
3777,2015,2.0,115459,4.0,4,45436
3778,2012,1.6,167405,4.0,0,8781
3779,2010,2.0,115363,4.0,4,15285
3780,2017,2.0,26802,4.0,12,314
3781,1998,2.5,2222222,4.0,2,9408
3782,2004,2.2,250000,4.0,4,26343
3783,2008,2.2,234000,4.0,2,37633
3784,2014,2.0,117527,4.0,4,32935
3785,2014,2.5,273500,4.0,4,25763
3786,2012,1.8,186560,4.0,6,19429
3787,2003,2.0,184000,4.0,2,9408
3788,2014,2.0,347600,4.0,4,10036
3789,2015,2.4,135730,4.0,0,470
3790,2013,1.6,0,4.0,12,7213
3791,2011,3.5,281000,6.0,6,25089
3792,2014,2.0,564538,4.0,4,10349
3793,2013,3.5,115200,6.0,8,39201
3794,2017,2.0,204200,4.0,10,31361
3795,2014,2.0,100000,4.0,12,18000
3796,2011,2.0,48656,4.0,4,12074
3797,2011,2.0,91678,4.0,4,13495
3798,2016,1.4,0,4.0,6,18189
3799,2017,2.4,38000,4.0,6,36065
3800,2014,2.0,145783,4.0,4,19933
3801,2014,2.4,127200,4.0,8,34497
3802,2014,1.0,169617,4.0,4,8097
3803,2011,2.0,13120,4.0,8,18817
3804,2018,2.0,25000,4.0,12,160
3805,2003,2.0,180000,6.0,3,7997
3806,2004,1.8,96000,4.0,8,10349
3807,2010,2.0,211075,4.0,4,16894
3808,2007,1.9,2000,4.0,10,8781
3809,2012,3.7,124978,6.0,12,11760
3810,2014,2.4,49384,4.0,12,6743
3811,2011,3.5,248525,6.0,12,18189
3812,2008,2.2,150000,4.0,4,11917
3813,2018,1.5,13048,4.0,4,54850
3814,2012,2.5,84000,4.0,12,20071
3815,1999,1.9,193243,4.0,6,6899
3816,2009,3.0,229854,6.0,0,1803
3817,1992,4.2,1000,6.0,0,6272
3818,2019,2.0,10120,4.0,4,67981
3819,2010,3.0,224000,6.0,8,32929
3820,1998,2.0,132085,4.0,4,9408
3821,1999,1.3,13222,4.0,3,1000
3822,2013,2.0,101124,4.0,4,21103
3823,2013,2.0,144000,4.0,12,27284
3824,2017,4.6,0,8.0,0,110
3825,2012,2.5,156518,4.0,12,3607
3826,2018,1.6,47181,4.0,4,36137
3827,2013,2.0,211214,4.0,12,862
3828,2005,1.5,174000,4.0,4,6900
3829,2015,2.4,104867,4.0,4,47201
3830,2012,3.5,363059,6.0,12,1490
3831,2009,1.8,270400,4.0,8,13485
3832,2000,1.6,1000,4.0,4,2850
3833,2014,1.8,270410,4.0,12,941
3834,2015,2.0,71000,4.0,12,54882
3835,2016,1.6,72507,4.0,4,20071
3836,2016,2.5,79000,4.0,4,47694
3837,2014,2.5,118000,4.0,10,15681
3838,2015,1.8,0,4.0,0,31
3839,2013,3.0,67646,6.0,8,22423
3840,2004,2.4,250000,4.0,6,10349
3841,2014,1.8,0,4.0,12,1254
3842,2010,1.6,52418,4.0,4,18240
3843,2004,4.8,250000,8.0,8,20542
3844,2005,1.5,160000,4.0,6,7840
3845,2013,2.7,397915,4.0,12,27284
3846,2013,2.5,171258,4.0,12,4391
3847,2013,1.8,160000,4.0,8,9095
3848,2012,1.8,123200,4.0,6,21953
3849,2012,3.0,122000,6.0,12,32302
3850,2015,2.0,456867,4.0,4,9252
3851,2003,1.7,100000,4.0,6,80
3852,2008,1.5,278000,4.0,0,10976
3853,2009,3.5,109139,6.0,12,5018
3854,2015,1.4,85000,4.0,10,28100
3855,2011,2.0,27200,4.0,6,15681
3856,2010,1.8,163200,4.0,16,14897
3857,2019,2.4,29419,4.0,12,10976
3858,2006,1.5,163000,4.0,6,10349
3859,2002,3.0,201000,6.0,8,11917
3860,2012,1.6,31593,4.0,4,14113
3861,2001,3.7,137582,6.0,6,11000
3862,2011,1.8,308501,4.0,12,2195
3863,2012,2.5,293029,4.0,12,1019
3864,2013,1.5,122471,4.0,4,8590
3865,2011,1.3,150000,4.0,2,11917
3866,2008,3.3,182000,6.0,10,20385
3867,2016,1.6,49799,4.0,4,33538
3868,2014,1.3,30425,4.0,4,16292
3869,2014,1.5,82000,4.0,4,19306
3870,1998,2.8,123000,6.0,6,7527
3871,2016,1.5,108295,4.0,10,19601
3872,2012,1.4,200000,4.0,10,21953
3873,2013,1.6,110531,4.0,0,12231
3874,2002,2.4,162000,4.0,0,10349
3875,1997,2.5,280000,2.0,2,10036
3876,2002,2.7,305000,5.0,2,17249
3877,2017,2.0,388986,4.0,4,13799
3878,2014,1.8,145000,4.0,10,18817
3879,2003,2.4,20000,6.0,4,9722
3880,2003,5.0,149000,8.0,12,15524
3881,2014,2.5,125445,4.0,4,34406
3882,2011,2.5,53440,4.0,4,13768
3883,2010,3.5,167222,6.0,12,5018
3884,2018,2.5,80000,4.0,12,30107
3885,2012,3.0,91000,6.0,12,40769
3886,2002,4.0,286400,6.0,8,9408
3887,2018,2.5,23333,4.0,12,549
3888,2014,2.0,264872,4.0,4,11604
3889,2007,2.8,123000,6.0,8,18817
3890,2007,2.4,208800,4.0,12,14113
3891,1997,2.5,250000,6.0,1,8467
3892,1999,2.0,150000,4.0,4,10976
3893,2014,2.0,268046,4.0,4,10036
3894,2010,3.0,155000,6.0,12,38574
3895,2008,1.3,2432000,4.0,4,13172
3896,2014,2.4,480000,4.0,12,21953
3897,2016,2.0,81014,4.0,12,470
3898,2017,1.4,46053,4.0,12,470
3899,2001,3.0,200000,6.0,4,8467
3900,2018,2.0,37214,4.0,10,36065
3901,2014,2.4,109000,4.0,10,23521
3902,1997,2.5,200000,4.0,2,10976
3903,2015,2.5,73000,4.0,0,16308
3904,2018,2.5,35058,4.0,12,18817
3905,2014,4.7,84000,8.0,0,58018
3906,2017,2.0,43178,4.0,4,49751
3907,2013,2.0,193504,4.0,0,1411
3908,2012,1.5,120000,4.0,9,12858
3909,2015,2.0,93876,4.0,4,44542
3910,2010,3.5,317470,6.0,12,220
3911,2011,3.0,162000,6.0,12,37633
3912,1995,2.0,1000,4.0,3,5300
3913,2011,2.0,153651,4.0,4,19369
3914,2008,1.8,164000,4.0,4,45
3915,2015,2.0,39878,4.0,4,15994
3916,2013,1.6,135000,4.0,12,15367
3917,2012,2.0,143265,4.0,4,21357
3918,2017,2.0,17013,4.0,4,51523
3919,2013,1.5,100000,4.0,6,14113
3920,2015,2.0,318677,4.0,4,15053
3921,2010,4.8,268565,8.0,12,941
3922,2010,1.6,69111,4.0,4,7527
3923,2018,2.0,41778,4.0,4,64002
3924,2012,1.6,88288,4.0,4,20266
3925,2002,2.2,300000,6.0,6,9756
3926,2003,1.8,150000,4.0,8,6899
3927,2013,2.0,53240,4.0,4,28068
3928,2012,2.4,103541,4.0,12,3293
3929,2013,2.0,53000,4.0,8,17876
3930,2014,1.6,122518,4.0,4,16465
3931,2010,3.5,229904,6.0,12,470
3932,2010,3.5,317470,6.0,12,220
3933,2001,2.0,335267,4.0,2,46414
3934,2012,1.3,98000,4.0,2,9000
3935,2011,2.0,117492,4.0,4,15245
3936,2011,2.5,193754,4.0,12,392
3937,2017,2.0,40157,4.0,12,627
3938,2016,2.0,88203,4.0,12,784
3939,2013,2.5,97852,5.0,10,42965
3940,2018,1.7,41500,4.0,4,56513
3941,2010,2.0,47221,4.0,4,7997
3942,2013,2.0,201373,4.0,4,27259
3943,2011,3.0,213195,6.0,0,392
3944,2003,3.5,120000,6.0,2,14113
3945,2014,2.5,212421,4.0,12,23521
3946,2010,3.5,229904,6.0,12,470
3947,2012,2.0,110297,4.0,4,22063
3948,2012,4.4,168000,8.0,12,26657
3949,2014,2.5,170971,4.0,4,31082
3950,2018,2.5,6800,6.0,8,53314
3951,2005,2.3,205000,6.0,6,8781
3952,2012,1.6,41279,4.0,4,16778
3953,2011,3.0,193685,6.0,12,4547
3954,2007,1.6,126184,4.0,4,12585
3955,2016,2.0,248705,4.0,4,15681
3956,2002,1.3,115500,4.0,2,6272
3957,2013,2.0,198288,4.0,4,28482
3958,2009,3.5,205922,6.0,12,63
3959,2017,1.6,107220,4.0,4,26017
3960,2012,2.5,156518,4.0,12,3607
3961,2011,2.4,0,4.0,12,17500
3962,2013,1.8,179000,4.0,6,15053
3963,2011,1.6,45898,4.0,4,29711
3964,2011,2.0,53323,4.0,4,32035
3965,2013,2.0,171755,4.0,4,36827
3966,2008,3.0,175614,6.0,12,2430
3967,2015,1.5,65000,4.0,4,34102
3968,2011,2.4,164000,4.0,2,314
3969,1995,1.8,0,4.0,2,6272
3970,2015,2.0,48764,4.0,4,57372
3971,2012,2.4,121456,4.0,4,26372
3972,2014,1.6,142495,4.0,4,19130
3973,2013,2.4,197328,4.0,0,314
3974,2017,2.4,140800,4.0,10,26657
3975,2010,2.0,126799,4.0,4,16894
3976,2017,1.6,25635,4.0,12,1019
3977,2010,3.5,315270,6.0,12,2509
3978,2016,1.6,144889,4.0,4,21395
3979,2010,2.0,216024,4.0,4,17468
3980,2011,2.0,167000,4.0,5,10976
3981,2015,2.0,43000,4.0,4,13642
3982,2015,2.4,64467,4.0,8,25559
3983,2018,2.0,16213,4.0,12,2587
3984,2014,2.0,62418,4.0,8,17405
3985,2015,2.0,571115,4.0,4,9252
3986,2013,1.8,120058,4.0,8,17562
3987,2016,2.0,60269,4.0,12,706
3988,2012,1.4,162190,4.0,0,4547
3989,2000,5.0,190000,8.0,12,10036
3990,2014,3.5,200179,6.0,12,30734
3991,2014,3.6,174002,6.0,12,3920
3992,2007,3.5,150000,6.0,6,21326
3993,2011,2.0,161345,4.0,4,21652
3994,2003,3.0,190000,6.0,8,13172
3995,2015,2.0,649650,4.0,4,6837
3996,2014,3.5,146395,6.0,12,470
3997,2019,2.0,14489,4.0,4,97401
3998,2014,1.5,82105,4.0,4,17509
3999,1999,2.0,300000,6.0,6,6272
4000,2014,2.5,72000,4.0,12,22266
4001,2016,1.8,32000,4.0,12,25716
4002,2016,1.4,91000,4.0,6,18817
4003,2007,2.0,109063,4.0,4,7683
4004,2000,2.0,444800,4.0,2,4600
4005,2014,1.4,89000,4.0,10,9722
4006,2014,2.5,109798,4.0,12,5488
4007,2008,3.0,256000,6.0,10,9900
4008,2014,1.4,110958,4.0,0,220
4009,2015,2.0,732232,4.0,4,12544
4010,2004,4.4,210000,8.0,6,15053
4011,2012,2.5,165472,4.0,0,23521
4012,2012,2.0,56290,4.0,4,9408
4013,2012,1.5,167000,4.0,4,10349
4014,2015,4.6,102907,8.0,0,314
4015,2012,4.4,145000,8.0,12,36065
4016,2016,2.2,197826,4.0,4,33550
4017,2007,2.2,214000,4.0,2,18189
4018,2000,2.7,320000,5.0,0,12858
4019,2006,3.0,272000,6.0,6,13172
4020,2013,2.5,140298,4.0,10,19130
4021,2000,3.2,165000,6.0,8,11917
4022,1984,1.6,200000,4.0,10,1800
4023,2011,3.5,368064,6.0,12,21639
4024,2012,1.6,75300,4.0,4,20005
4025,2013,1.5,170000,4.0,4,13799
4026,1998,2.3,188000,4.0,6,11917
4027,2015,4.6,129931,8.0,0,784
4028,1994,1.6,0,4.0,2,2300
4029,2013,1.8,114000,4.0,12,23592
4030,2014,2.5,27000,4.0,4,34607
4031,2008,1.6,206000,4.0,8,11917
4032,2002,3.5,190000,4.0,6,12544
4033,2017,2.0,93087,4.0,4,45210
4034,2014,3.0,0,6.0,0,10349
4035,2010,3.5,186005,6.0,12,13172
4036,2011,3.5,230696,6.0,12,627
4037,2014,1.8,26243,4.0,4,10914
4038,2005,3.0,175000,8.0,2,14583
4039,2010,1.6,181421,4.0,4,7517
4040,2014,2.0,698359,4.0,4,8467
4041,2011,1.8,135000,4.0,12,25089
4042,2014,2.4,225734,4.0,12,1725
4043,2009,3.0,195000,6.0,8,36065
4044,2018,3.0,31000,6.0,0,156805
4045,2012,2.5,177600,4.0,11,23678
4046,2012,3.5,140966,6.0,12,23521
4047,2016,2.0,305511,4.0,4,15681
4048,2011,2.5,174899,4.0,12,2038
4049,2020,3.5,1669,6.0,12,31675
4050,2014,3.0,0,6.0,12,6899
4051,2013,3.5,181000,8.0,0,66902
4052,2009,3.3,318358,6.0,12,1019
4053,2007,2.3,261000,4.0,7,14900
4054,2010,3.5,186005,6.0,12,13328
4055,2014,2.5,125000,4.0,12,24148
4056,2011,3.0,213195,6.0,0,392
4057,2014,1.8,99040,4.0,8,21012
4058,2012,1.4,239000,4.0,6,24462
4059,2014,1.5,99249,4.0,4,13184
4060,2017,1.6,72052,4.0,4,37837
4061,1996,1.8,442000,4.0,4,4391
4062,1993,1.7,0,4.0,0,2600
4063,2010,3.5,167222,6.0,12,5018
4064,1998,1.6,260000,4.0,2,8154
4065,2011,2.5,114000,4.0,8,21636
4066,2013,5.7,357933,8.0,12,23207
4067,2019,2.5,9626,4.0,12,3450
4068,2016,4.7,50693,8.0,10,72758
4069,2001,4.4,220000,8.0,8,10000
